# Note - 
# ESC - Mamba X (F583) Firmware - 2.02(Prodcution)
# Poles - 4
# Gear Ratio - 1
# KV - 0
# Graph Data - 11 Sessions - Saved Thursday, April 24, 2025
# Start Of Session - Sample Time: 0.200
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Number: 1
# Note - 
# Voltage Cutoff: 9.11
# Current Cutoff: ?
# Temperature Cutoff: 239.0
# Motor Temperature Cutoff: -459.4
# RX2 Mode: 0
# Throttle Cal Min: 2139
# Throttle Cal Mid: 3020
# Throttle Cal Max: 3901
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       , Gov. Gain   , BEC Voltage , Motor Temp. 
True        , True        , True        , True        , True        , True        , True        , True        , True        , True        
1.7382      , 54.510      , 11.72       , 1.042       , 47.7        , 101.8       , 37531       , 0           , 5.33        , 0.00        
1.8087      , 74.510      , 12.24       , 0.130       , 71.0        , 107.3       , 46087       , 0           , 5.33        , 0.00        
1.8714      , 90.196      , 13.54       , 3.125       , 112.3       , 107.3       , 59873       , 0           , 5.33        , 0.00        
1.7225      , 51.373      , 11.85       , 0.781       , 73.5        , 107.3       , 54300       , 0           , 5.29        , 0.00        
1.5188      , 0.392       , 12.24       , 0.000       , 7.7         , 107.3       , 47814       , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , 0.0         , 107.3       , 38963       , 0           , 5.29        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , 0.0         , 107.3       , 24658       , 0           , 5.33        , 0.00        
1.5266      , 0.000       , 12.37       , 0.391       , 2.6         , 107.3       , 12849       , 0           , 5.33        , 0.00        
1.5266      , 0.392       , 12.37       , 0.000       , 1.3         , 107.3       , 0           , 0           , 5.33        , 0.00        
1.5266      , 0.392       , 12.37       , 0.000       , 1.3         , 107.3       , 0           , 0           , 5.33        , 0.00        
1.5266      , 0.392       , 12.37       , 0.000       , 1.3         , 107.3       , 0           , 0           , 5.33        , 0.00        
1.5266      , 0.392       , 12.37       , 0.000       , 1.3         , 107.3       , 7590        , 0           , 5.33        , 0.00        
1.5266      , 0.392       , 12.37       , 0.000       , 1.3         , 107.3       , 0           , 0           , 5.33        , 0.00        
1.5266      , 0.392       , 12.37       , 0.000       , 2.6         , 107.3       , 0           , 0           , 5.33        , 0.00        
1.6912      , 43.529      , 11.98       , 1.823       , 58.1        , 107.3       , 21070       , 0           , 5.33        , 0.00        
1.5971      , 16.863      , 12.37       , 1.302       , 16.8        , 107.3       , 10673       , 0           , 5.33        , 0.00        
1.6050      , 18.824      , 12.37       , 1.302       , 7.7         , 107.3       , 12189       , 0           , 5.33        , 0.00        
1.6285      , 25.490      , 12.24       , 1.562       , 15.5        , 107.3       , 14816       , 0           , 5.33        , 0.00        
